id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
MENDOZA_CAPITAL,"Capital, Mendoza",ALIANZA CAMBIEMOS,57.53,1.99,6.72,21.67,2.15,9.93,43456,1504,5077,16367,1626,7501,77.95,99182,77317,1.27,0.06,0.98,983,44,759,MENDOZA
MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,33.41,4.71,2.72,39.99,1.38,17.79,9837,1386,802,11773,407,5237,80.91,37266,30152,1.25,0.04,1.06,377,12,321,MENDOZA
MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",ALIANZA CAMBIEMOS,48.46,2.96,8.52,24.67,1.78,13.61,58346,3565,10261,29696,2145,16383,79.97,154531,123582,1.34,0.05,1.19,1659,56,1471,MENDOZA
MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",ALIANZA CAMBIEMOS,44.37,3.9,8.76,27.09,1.45,14.43,76316,6709,15070,46592,2501,24814,80.99,218082,176630,1.22,0.09,1.31,2157,155,2316,MENDOZA
MENDOZA_JUNIN,"Junin, Mendoza",ALIANZA CAMBIEMOS,40.49,8.53,8.47,27.22,1.3,13.99,10661,2246,2231,7167,343,3685,83.9,32503,27270,1.99,0.1,1.35,542,27,368,MENDOZA
MENDOZA_LA PAZ,"La Paz, Mendoza",ALIANZA CAMBIEMOS,44.04,4.53,2.43,39.99,0.77,8.24,3153,324,174,2863,55,590,85.02,8591,7304,1.27,0.0,0.71,93,0,52,MENDOZA
MENDOZA_LAS HERAS,"Las Heras, Mendoza",ALIANZA CAMBIEMOS,37.29,4.15,9.88,33.01,1.35,14.32,44948,5001,11907,39786,1626,17256,81.71,152261,124415,1.64,0.1,1.39,2039,124,1728,MENDOZA
MENDOZA_LAVALLE,"Lavalle, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,26.69,4.64,9.22,48.33,0.94,10.18,6548,1139,2262,11858,231,2499,84.84,29733,25226,1.88,0.06,0.79,474,15,200,MENDOZA
MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",ALIANZA CAMBIEMOS,45.0,3.85,8.82,27.05,1.62,13.67,35127,3003,6887,21113,1264,10671,83.64,96021,80309,1.37,0.08,1.35,1102,61,1081,MENDOZA
MENDOZA_MAIPU,"Maipu, Mendoza",ALIANZA CAMBIEMOS,37.01,5.45,9.64,32.68,1.13,14.09,40053,5899,10437,35369,1224,15250,83.88,133146,111679,1.68,0.06,1.35,1873,70,1504,MENDOZA
MENDOZA_MALARGÜE,"Malargüe, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,33.4,3.01,4.07,37.62,2.07,19.83,5620,507,685,6330,348,3336,77.28,22320,17249,1.51,0.02,0.92,260,4,159,MENDOZA
MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",ALIANZA CAMBIEMOS,41.5,9.35,6.61,29.81,1.45,11.28,14582,3285,2324,10474,508,3964,83.72,43120,36101,1.7,0.02,0.95,613,9,342,MENDOZA
MENDOZA_SAN CARLOS,"San Carlos, Mendoza",ALIANZA CAMBIEMOS,36.4,3.86,7.45,30.28,1.77,20.23,7450,791,1525,6197,363,4141,83.59,25142,21017,1.85,0.05,0.71,389,11,150,MENDOZA
MENDOZA_SAN MARTIN,"San Martin, Mendoza",ALIANZA CAMBIEMOS,35.96,7.4,7.04,35.21,1.09,13.3,26474,5445,5180,25923,806,9791,82.9,90957,75405,1.28,0.05,1.05,963,34,789,MENDOZA
MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,31.97,4.06,3.18,39.42,1.27,20.1,35875,4558,3565,44238,1426,22557,81.71,141182,115354,1.28,0.05,1.39,1471,59,1605,MENDOZA
MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,32.7,6.74,5.38,43.96,0.76,10.46,3641,751,599,4895,85,1165,85.79,13182,11309,0.94,0.01,0.58,106,1,66,MENDOZA
MENDOZA_TUNUYAN,"Tunuyan, Mendoza",ALIANZA CAMBIEMOS,38.98,3.18,6.66,36.75,1.37,13.06,12049,982,2059,11359,423,4038,83.66,37712,31548,1.21,0.06,0.74,383,20,235,MENDOZA
MENDOZA_TUPUNGATO,"Tupungato, Mendoza",ALIANZA CAMBIEMOS,37.81,3.94,7.24,36.43,1.27,13.3,7300,761,1398,7032,246,2568,83.31,23667,19716,1.16,0.04,0.89,228,8,175,MENDOZA
